,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
478,2021-01-26,500,内地企业,Mainland Enterprises,002463,沪电股份,Wus Printed Circuit (Kunshan) Co Ltd,SHZ
479,2021-01-26,500,内地企业,Mainland Enterprises,002465,海格通信,Guangzhou Haige Communications Group Incorporated Company,SHZ
480,2021-01-26,500,内地企业,Mainland Enterprises,002466,天齐锂业,"Tianqi Lithium Industries, Inc.",SHZ
481,2021-01-26,500,内地企业,Mainland Enterprises,002475,立讯精密,"Luxshare Precision Industry Co., Ltd.",SHZ
482,2021-01-26,500,内地企业,Mainland Enterprises,002493,荣盛石化,Rongsheng Petro Chemical Co Ltd,SHZ
483,2021-01-26,500,内地企业,Mainland Enterprises,002506,协鑫集成,"GCL System Integration Technology Co., Ltd.",SHZ
484,2021-01-26,500,内地企业,Mainland Enterprises,002508,老板电器,Hangzhou Robam Appliances Co Ltd,SHZ
485,2021-01-26,500,内地企业,Mainland Enterprises,002555,三七互娱,"WUHU SANQI INTERACTIVE ENTERTAINMENT NETWORK TECHNOLOGY GROUP CO.,LTD.",SHZ
486,2021-01-26,500,内地企业,Mainland Enterprises,002558,巨人网络,"Giant Network Group Co., Ltd.",SHZ
487,2021-01-26,500,内地企业,Mainland Enterprises,002563,森马服饰,Zhejiang Semir Garment Co Ltd,SHZ
488,2021-01-26,500,内地企业,Mainland Enterprises,002572,索菲亚,Suofeiya Home Collection Co Ltd,SHZ
489,2021-01-26,500,内地企业,Mainland Enterprises,002594,比亚迪,BYD Co Ltd,SHZ
490,2021-01-26,500,内地企业,Mainland Enterprises,002600,领益智造,LINGYI iTECH (GUANGDONG) COMPANY,SHZ
491,2021-01-26,500,内地企业,Mainland Enterprises,002601,龙蟒佰利,"Lomon Billions Group Co., Ltd.",SHZ
492,2021-01-26,500,内地企业,Mainland Enterprises,002602,世纪华通,"ZHEJIANG CENTURY HUATONG GROUP CO., LTD",SHZ
493,2021-01-26,500,内地企业,Mainland Enterprises,002607,中公教育,"Offcn Education Technology Co., Ltd.",SHZ
494,2021-01-26,500,内地企业,Mainland Enterprises,002624,完美世界,"Perfect World Co., Ltd.",SHZ
495,2021-01-26,500,内地企业,Mainland Enterprises,002625,光启技术,"Kuang-Chi Technologies Co., Ltd.",SHZ
496,2021-01-26,500,内地企业,Mainland Enterprises,002683,宏大爆破,"Guangdong HongDa Blasting Co.,Ltd.",SHZ
497,2021-01-26,500,内地企业,Mainland Enterprises,002690,美亚光电,Hefei Meiya Optoelectronic Technology Inc.,SHZ
498,2021-01-26,500,内地企业,Mainland Enterprises,002705,新宝股份,"Guangdong Xinbao Electrical Appliances Holdings Co., Ltd",SHZ
499,2021-01-26,500,内地企业,Mainland Enterprises,002714,牧原股份,"Muyuan Foodstuff Co., Ltd",SHZ
500,2021-01-26,500,内地企业,Mainland Enterprises,002736,国信证券,"GUOSEN SECURITIES CO., LTD.",SHZ
501,2021-01-26,500,内地企业,Mainland Enterprises,002739,万达电影,"WANDA FILM HOLDING CO., LTD",SHZ
502,2021-01-26,500,内地企业,Mainland Enterprises,002773,康弘药业,"Chengdu Kanghong Pharmaceutical Group Co., Ltd",SHZ
503,2021-01-26,500,内地企业,Mainland Enterprises,002791,坚朗五金,"Guangdong KinLong Hardware Products Co.,Ltd.",SHZ
504,2021-01-26,500,内地企业,Mainland Enterprises,002812,恩捷股份,"Yunnan Energy New Material Co., Ltd.",SHZ
505,2021-01-26,500,内地企业,Mainland Enterprises,002821,凯莱英,"Asymchem Laboratories (Tianjin) Co., Ltd.",SHZ
506,2021-01-26,500,内地企业,Mainland Enterprises,002831,裕同科技,"ShenZhen YUTO Packaging Technology Co., Ltd.",SHZ
507,2021-01-26,500,内地企业,Mainland Enterprises,002841,视源股份,Guangzhou Shiyuan Electronic Technology Company Limited,SHZ
508,2021-01-26,500,内地企业,Mainland Enterprises,002916,深南电路,"Shennan Circuits Co., Ltd.",SHZ
509,2021-01-26,500,内地企业,Mainland Enterprises,002925,盈趣科技,Xiamen Intretech Inc.,SHZ
510,2021-01-26,500,内地企业,Mainland Enterprises,002938,鹏鼎控股,"Avary Holding (Shenzhen) Co., Limited",SHZ
511,2021-01-26,500,内地企业,Mainland Enterprises,002985,北摩高科,"BEIJING BEI MO GAO KE FRICTION MATERIAL CO., LTD.",SHZ
512,2021-01-26,500,内地企业,Mainland Enterprises,003816,中国广核,"CGN Power Co., Ltd.",SHZ
513,2021-01-26,500,内地企业,Mainland Enterprises,300001,特锐德,Qingdao TGOOD Electric Co Ltd,SHZ
514,2021-01-26,500,内地企业,Mainland Enterprises,300003,乐普医疗,Lepu Medical Technology (Beijing) Co Ltd,SHZ
515,2021-01-26,500,内地企业,Mainland Enterprises,300012,华测检测,"CENTRE TESTING INTERNATIONAL GROUP CO., LTD.",SHZ
516,2021-01-26,500,内地企业,Mainland Enterprises,300014,亿纬锂能,Eve Energy Co Ltd,SHZ
517,2021-01-26,500,内地企业,Mainland Enterprises,300015,爱尔眼科,Aier Eye Hospital Group Co Ltd,SHZ
518,2021-01-26,500,内地企业,Mainland Enterprises,300017,网宿科技,"Wangsu Science and Technology Co.,Ltd.",SHZ
519,2021-01-26,500,内地企业,Mainland Enterprises,300024,机器人,Siasun Robot & Automation Co Ltd,SHZ
520,2021-01-26,500,内地企业,Mainland Enterprises,300059,东方财富,East Money Information Co Ltd,SHZ
521,2021-01-26,500,内地企业,Mainland Enterprises,300070,碧水源,Beijing Originwater Technology Co Ltd,SHZ
522,2021-01-26,500,内地企业,Mainland Enterprises,300088,长信科技,Wuhu Token Science Co Ltd,SHZ
523,2021-01-26,500,内地企业,Mainland Enterprises,300122,智飞生物,Chongqing Zhifei Biological Products Co Ltd,SHZ
524,2021-01-26,500,内地企业,Mainland Enterprises,300124,汇川技术,Shenzhen Inovance Technology Co Ltd,SHZ
525,2021-01-26,500,内地企业,Mainland Enterprises,300136,信维通信,Shenzhen Sunway Communication Co Ltd,SHZ
526,2021-01-26,500,内地企业,Mainland Enterprises,300142,沃森生物,Walvax Biotechnology Co Ltd,SHZ
527,2021-01-26,500,内地企业,Mainland Enterprises,300207,欣旺达,Sunwoda Electronic Co Ltd,SHZ
528,2021-01-26,500,内地企业,Mainland Enterprises,300251,光线传媒,Beijing Enlight Media Co Ltd,SHZ
529,2021-01-26,500,内地企业,Mainland Enterprises,300274,阳光电源,Sungrow Power Supply Co Ltd,SHZ
530,2021-01-26,500,内地企业,Mainland Enterprises,300285,国瓷材料,"Shandong Sinocera Functional Material Co., Ltd",SHZ
531,2021-01-26,500,内地企业,Mainland Enterprises,300308,中际旭创,"ZHONGJI INNOLIGHT CO., LTD.",SHZ
532,2021-01-26,500,内地企业,Mainland Enterprises,300316,晶盛机电,"Zhejiang Jingsheng Mechanical & Electrical Co., Ltd.",SHZ
533,2021-01-26,500,内地企业,Mainland Enterprises,300347,泰格医药,"Hangzhou Tigermed Consulting Co., Ltd.",SHZ
534,2021-01-26,500,内地企业,Mainland Enterprises,300383,光环新网,"Beijing Sinnet Technology Co., Ltd.",SHZ
535,2021-01-26,500,内地企业,Mainland Enterprises,300408,三环集团,"CHAOZHOU THREE-CIRCLE(GROUP)CO.,LTD",SHZ
536,2021-01-26,500,内地企业,Mainland Enterprises,300413,芒果超媒,"Mango Excellent Media Co., Ltd.",SHZ
537,2021-01-26,500,内地企业,Mainland Enterprises,300433,蓝思科技,"Lens Technology Co., Ltd.",SHZ
538,2021-01-26,500,内地企业,Mainland Enterprises,300450,先导智能,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD.",SHZ
539,2021-01-26,500,内地企业,Mainland Enterprises,300454,深信服,Sangfor Technologies Inc.,SHZ
540,2021-01-26,500,内地企业,Mainland Enterprises,300474,景嘉微,"Changsha Jingjia Microelectronics Co., Ltd.",SHZ
541,2021-01-26,500,内地企业,Mainland Enterprises,300498,温氏股份,"GUANGDONGWENSFOODSTUFFGROUPCO.,LTD",SHZ
542,2021-01-26,500,内地企业,Mainland Enterprises,300529,健帆生物,"Jafron Biomedical Co.,Ltd.",SHZ
543,2021-01-26,500,内地企业,Mainland Enterprises,300601,康泰生物,"Shenzhen Kangtai Biological Products Co., Ltd.",SHZ
544,2021-01-26,500,内地企业,Mainland Enterprises,300628,亿联网络,YEALINK NETWORK TECHNOLOGY CORPORATION LIMITED,SHZ
545,2021-01-26,500,内地企业,Mainland Enterprises,300676,华大基因,"BGI Genomics Co., Ltd",SHZ
546,2021-01-26,500,内地企业,Mainland Enterprises,300699,光威复材,"Weihai Guangwei Composites Co.,Ltd.",SHZ
547,2021-01-26,500,内地企业,Mainland Enterprises,300724,捷佳伟创,Shenzhen S.C New Energy Technology Corporation,SHZ
548,2021-01-26,500,内地企业,Mainland Enterprises,300747,锐科激光,"Wuhan Raycus Fiber Laser Technologies Co., Ltd.",SHZ
549,2021-01-26,500,内地企业,Mainland Enterprises,300750,宁德时代,"Contemporary Amperex Technology Co., Limited.",SHZ
550,2021-01-26,500,内地企业,Mainland Enterprises,300759,康龙化成,"Pharmaron Beijing Co., Ltd.",SHZ
551,2021-01-26,500,内地企业,Mainland Enterprises,300760,迈瑞医疗,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",SHZ
552,2021-01-26,500,内地企业,Mainland Enterprises,300773,拉卡拉,"Lakala Payment Co., Ltd.",SHZ
553,2021-01-26,500,内地企业,Mainland Enterprises,300782,卓胜微,Maxscend Microelectronics Company Limited,SHZ
554,2021-01-26,500,内地企业,Mainland Enterprises,300815,玉禾田,"EIT Environmental Development Group Co.,Ltd.",SHZ
