,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
80,2021-01-26,500,内地企业,Mainland Enterprises,2196,复星医药,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",HKG
81,2021-01-26,500,内地企业,Mainland Enterprises,2202,万科企业,"CHINA VANKE CO., LTD.",HKG
82,2021-01-26,500,内地企业,Mainland Enterprises,2208,金风科技,Goldwind,HKG
83,2021-01-26,500,内地企业,Mainland Enterprises,2238,广汽集团,GAC Group,HKG
84,2021-01-26,500,内地企业,Mainland Enterprises,2269,药明生物,WUXI BIOLOGICS (CAYMAN) INC.,HKG
85,2021-01-26,500,内地企业,Mainland Enterprises,2313,申洲国际,Shenzhou,HKG
86,2021-01-26,500,内地企业,Mainland Enterprises,2318,中国平安,Cn Ping An,HKG
87,2021-01-26,500,内地企业,Mainland Enterprises,2319,蒙牛乳业,Mengniu Dairy,HKG
88,2021-01-26,500,内地企业,Mainland Enterprises,2331,李宁,Li Ning,HKG
89,2021-01-26,500,内地企业,Mainland Enterprises,2333,长城汽车,Great Wall Motor,HKG
90,2021-01-26,500,内地企业,Mainland Enterprises,2338,潍柴动力,Weichai Power,HKG
91,2021-01-26,500,内地企业,Mainland Enterprises,2357,中航科工,AviChina,HKG
92,2021-01-26,500,内地企业,Mainland Enterprises,2359,药明康德,"WUXI APPTEC CO., LTD.",HKG
93,2021-01-26,500,内地企业,Mainland Enterprises,2382,舜宇光学科技,Sunny Optical,HKG
94,2021-01-26,500,内地企业,Mainland Enterprises,2600,中国铝业,Aluminum,HKG
95,2021-01-26,500,内地企业,Mainland Enterprises,2607,上海医药,SPH,HKG
96,2021-01-26,500,内地企业,Mainland Enterprises,2628,中国人寿,China Life Ins,HKG
97,2021-01-26,500,内地企业,Mainland Enterprises,2688,新奥能源,ENN Energy,HKG
98,2021-01-26,500,内地企业,Mainland Enterprises,2689,玖龙纸业,Nine Dragons,HKG
99,2021-01-26,500,内地企业,Mainland Enterprises,2883,中海油田服务,COSL,HKG
100,2021-01-26,500,内地企业,Mainland Enterprises,2899,紫金矿业,Zijin Mining Grp,HKG
101,2021-01-26,500,内地企业,Mainland Enterprises,3311,中国建筑国际,CH State Constr,HKG
102,2021-01-26,500,内地企业,Mainland Enterprises,3320,华润医药,China Resources Pharmaceutical Group Limited,HKG
103,2021-01-26,500,内地企业,Mainland Enterprises,3323,中国建材,CN Building Matl,HKG
