,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange,权重(%)Weight(%)
100,2020-12-31,300,沪深300,CSI 300,601111,中国国航,Air China Ltd,SHH,0.11
101,2020-12-31,300,沪深300,CSI 300,601117,中国化学,China National Chemical Engineering Co Ltd,SHH,0.07
102,2020-12-31,300,沪深300,CSI 300,601138,工业富联,"Foxconn Industrial Internet Co., Ltd.",SHH,0.14
103,2020-12-31,300,沪深300,CSI 300,601155,新城控股,"Future Land Holdings Co., Ltd.",SHH,0.16
104,2020-12-31,300,沪深300,CSI 300,601162,天风证券,"TIANFENG SECURITIES CO., LTD.",SHH,0.1
105,2020-12-31,300,沪深300,CSI 300,601166,兴业银行,Industrial Bank,SHH,1.55
106,2020-12-31,300,沪深300,CSI 300,601169,北京银行,Bank of Beijing Co Ltd,SHH,0.37
107,2020-12-31,300,沪深300,CSI 300,601186,中国铁建,China Railway Construction Co Ltd,SHH,0.19
108,2020-12-31,300,沪深300,CSI 300,601198,东兴证券,"DONGXING SECURITIES CO., LTD.",SHH,0.09
109,2020-12-31,300,沪深300,CSI 300,601211,国泰君安,"Guotai Junan Securities Co., Ltd.",SHH,0.4
110,2020-12-31,300,沪深300,CSI 300,601216,君正集团,"Inner Mongolia Junzheng Energy & Chemical Group Co.,Ltd.",SHH,0.09
111,2020-12-31,300,沪深300,CSI 300,601225,陕西煤业,Shaanxi Coal Industry Company Limited,SHH,0.19
112,2020-12-31,300,沪深300,CSI 300,601229,上海银行,"Bank of Shanghai Co., Ltd.",SHH,0.4
113,2020-12-31,300,沪深300,CSI 300,601231,环旭电子,"Universal Scientific Industrial (Shanghai) Co.,Ltd.",SHH,0.07
114,2020-12-31,300,沪深300,CSI 300,601236,红塔证券,"HONGTA SECURITIES CO., LTD.",SHH,0.07
115,2020-12-31,300,沪深300,CSI 300,601238,广汽集团,"Guangzhou Automobile Group Co., Ltd.",SHH,0.06
116,2020-12-31,300,沪深300,CSI 300,601288,农业银行,Agricultural Bank of China Co Ltd,SHH,0.46
117,2020-12-31,300,沪深300,CSI 300,601318,中国平安,Ping An Insurance (Group) Company of China Ltd,SHH,4.8
118,2020-12-31,300,沪深300,CSI 300,601319,中国人保,The People's Insurance Company (Group) of China Limited,SHH,0.07
119,2020-12-31,300,沪深300,CSI 300,601328,交通银行,Bank of Communications Co LTD,SHH,0.63
120,2020-12-31,300,沪深300,CSI 300,601336,新华保险,New China Life Insurance Co Ltd,SHH,0.25
121,2020-12-31,300,沪深300,CSI 300,601360,三六零,360 Security Technology Inc.,SHH,0.16
122,2020-12-31,300,沪深300,CSI 300,601377,兴业证券,Industrial Securities Co Ltd,SHH,0.24
123,2020-12-31,300,沪深300,CSI 300,601390,中国中铁,China Railway Group Limited,SHH,0.27
124,2020-12-31,300,沪深300,CSI 300,601398,工商银行,Industrial and Commercial Bank of China Ltd,SHH,0.89
125,2020-12-31,300,沪深300,CSI 300,601555,东吴证券,Soochow Securities Co Ltd,SHH,0.16
126,2020-12-31,300,沪深300,CSI 300,601577,长沙银行,"BANK OF CHANGSHA CO., LTD.",SHH,0.05
127,2020-12-31,300,沪深300,CSI 300,601600,中国铝业,Aluminum Corporation of China Limited,SHH,0.12
128,2020-12-31,300,沪深300,CSI 300,601601,中国太保,China Pacific Insurance (Group) Co Ltd,SHH,0.67
129,2020-12-31,300,沪深300,CSI 300,601607,上海医药,"Shanghai Pharmaceuticals Holding Co.,Ltd",SHH,0.11
130,2020-12-31,300,沪深300,CSI 300,601618,中国中冶,Metallurgical Corporation of China Co Ltd,SHH,0.1
131,2020-12-31,300,沪深300,CSI 300,601628,中国人寿,China Life Insurance Company Limited,SHH,0.33
132,2020-12-31,300,沪深300,CSI 300,601633,长城汽车,Great Wall Motor Co Ltd,SHH,0.23
133,2020-12-31,300,沪深300,CSI 300,601658,邮储银行,"POSTAL SAVINGS BANK OF CHINA CO., LTD.",SHH,0.08
134,2020-12-31,300,沪深300,CSI 300,601668,中国建筑,China State Construction Engineering Co Ltd,SHH,0.53
135,2020-12-31,300,沪深300,CSI 300,601669,中国电建,"Power Construction Corporation of China,Ltd",SHH,0.15
136,2020-12-31,300,沪深300,CSI 300,601688,华泰证券,Huatai Securities Co Ltd,SHH,0.54
137,2020-12-31,300,沪深300,CSI 300,601696,中银证券,"BOC International (China) Co., Ltd.",SHH,0.04
138,2020-12-31,300,沪深300,CSI 300,601698,中国卫通,"China Satellite Communications Co.,Ltd.",SHH,0.04
139,2020-12-31,300,沪深300,CSI 300,601727,上海电气,Shanghai Electric Group Co Ltd,SHH,0.1
140,2020-12-31,300,沪深300,CSI 300,601766,中国中车,CRRC Corporation Limited,SHH,0.33
141,2020-12-31,300,沪深300,CSI 300,601788,光大证券,Everbright Securities Co Ltd,SHH,0.18
142,2020-12-31,300,沪深300,CSI 300,601800,中国交建,China Communications Construction Company Limited,SHH,0.13
143,2020-12-31,300,沪深300,CSI 300,601808,中海油服,China Oilfield Services Limited,SHH,0.04
144,2020-12-31,300,沪深300,CSI 300,601816,京沪高铁,"Beijing-Shanghai High Speed Railway Co.,Ltd",SHH,0.1
145,2020-12-31,300,沪深300,CSI 300,601818,光大银行,China Everbright Bank Co Ltd,SHH,0.32
146,2020-12-31,300,沪深300,CSI 300,601838,成都银行,"BANK OF CHENGDU CO., LTD.",SHH,0.12
147,2020-12-31,300,沪深300,CSI 300,601857,中国石油,PetroChina Co Ltd,SHH,0.21
148,2020-12-31,300,沪深300,CSI 300,601872,招商轮船,"China Merchants Energy Shipping Co., Ltd.",SHH,0.06
149,2020-12-31,300,沪深300,CSI 300,601877,正泰电器,Zhejiang Chint Electrics Co Ltd,SHH,0.22
